Site ID,Site,Period,Country,Region,Latitude,Longitude,Context,Notes,Citations,Chemical Characterization,Laboratory,Analytical Methods,Obsidian analyzed,Agicol,Gollu Dag East,Gollu Dag West,Nenezi Dag,Hasan Dag,Erciyes Dag,Erzincan,Erzerum,Pasinler,Sarikamis,Kars-Kagisman,Ikizdere,Bingol B,Nemrut Dag / Bingol A,Meydan Dag,Tendurek Dag,Suphan Dag,Mus,Kechut,Aragats / Arteni,Gegham,Vardenis / Khorapor,Sjunik,Baksan,Gutanasar,Kojun Dag / Chikiani,Hatis,West Anatolia,Demenegaki,Sta Nychia,Giali,3d high in rubidium,1e-f,Unknown
0_1,Zarzi,0,Iraq,Northern Zagros,35.816667,45.016667,Level B - Zarzian,,"Renfrew, C. et al 1966; Chabot et al 2001","Renfrew, C. et al 1966",,OES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0_2,Hallan Cemi,0,Turkey,High Valleys,38.227159,41.238851,,Not included in ASPRO. The trace element analysis was published by Rosenberg but was conducted by J.M. Blackman in 1991. ,"Rosenberg, M. 1994; Delerue, S. 2007","Rosenberg, M. 1994",,"""trace element analysis""",16,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0_3,Kortik Tepe,0,Turkey,Jezireh,37.814426,40.983756,Epi-Palaeolithic,,"Carter, T. et al 2013","Carter, T. et al 2013",McMaster University,ED-XRF,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0_4,Mallaha,0,Israel,Southern Levant,33.11666667,35.66666667,Final Natufian,,"Valla F.R. 1984; Cauvin M.C. 1966; Valla, F.R. et al 2001; Valla, F.R. et al 2007; Valla, F.R. 1975a; Valla, F.R. 1975b; Delerue, S.2007; ","Delerue, S. 2007; Valla, F.R. et al 2001 (analysis done by Perlman and Yellin); Valla, F.R. et al 2007 (analysis done by S.D. and G.P.)",,NAA; XRF,137,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0_5,Shanidar,0,Iraq,Northern Zagros,37.08333333,43.86666667,,,"Solecki, R.L. 1964a; Solecki, R.L. 1964b; Chataigner, C. 1998:293-294","See Chataigner, C. 1998:293-294; Renfrew, C. et al 1966",,OES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0_6,Zawi Chemi,0,Iraq,Northern Zagros,36.96666667,44.2,,"ASPRO states that a single piece originates from Nemrut Dag, but no reference is given. Delerue also mentions this issue on page 253 of her thesis. ","Solecki, R.L. 1964; Hours, F. et al 1994","Hours, F. et al 1994",,?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_1,Abu Hureyra,1,Syria,Middle Euphrate,35.86666667,38.38333,Phases 1-3; Natoufien ; Zarzien final; tranchée E: Mesolithic,,"Moore, A.M.T. et al 2000; McDaniels, J.B. 1976; McDaniels J. et al. 1980","Carter, T. 2012",McMaster University,ED-XRF,7,0,3,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_2,Aswad,1,Syria,Central Levant,33.366667,36.55,niv. I A (sondage Est); PPNA/EPPNB,,"Cauvin, M.C. 1974:435; McDaniels et al 1980","Epstein, S.M. 1977",,NAA,11,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_3,Cheikh Hassan,1,Syria,Middle Euphrate,36.1,38.116667,IIIB; PPNA,"Bellot-Gurlet summarizes all the obsidian that has been sourced, but his tables are not entirely clear. I could only track down 18 of the 23 results he lists - 3 from Gratuze,, 2 from Pernicka, 5 from Abbes, and 8 from his own study. I am not entirely sure about the status of these missing 5 samples, but by looking at his tables thoroughly, I know that 2 are from GDE and 3 are from BB. These missing samples are not included here because of the lack of verification. ","Abbes, F. et al 2001; Pernicka, E. et al 1997; Gratuze et al 1993","Abbes, F. et al 2001; Pernicka, E. et al 1997; Gratuze et al 1993; Bellot-Gurlet, L. 2008",,"ICP-AES, ICP-MS, IA-ICP-MS, ANRC, INAA; PIGE",27,0,16,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1_4,East Chia Sabz,1,Iran,Southern Zagros,32.416667,47.25,Transitional Neolithic Period,,"Darabi, H. and Glascock, M.D. 2013","Darabi, H. and Glascock, M.D. 2013",,XRF; NAA,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
