Site ID,Site,ASPRO,Country,Region,Latitude,Longitude,Context,Notes,Citations,Chemical Characterization,Laboratory,Analytical Methods,Obsidian analyzed,Agicol,Gollu Dag East,Gollu Dag West,Nenezi Dag,Hasan Dag,Erciyes Dag,Erzincan,Erzerum,Pasinler,Sarikamis,Kars-Kagisman,Ikizdere,Bingol B,Nemrut Dag / Bingol A,Meydan Dag,Tendurek Dag,Suphan Dag,Mus,Kechut,Aragats / Arteni,Gegham,Vardenis / Khorapor,Sjunik,Baksan,Gutanasar,Kojun Dag / Chikiani,Hatis,West Anatolia,Demenegaki,Sta Nychia,Giali,3d high in rubidium,1e-f,Unknown
0_1,Zarzi,0,Iraq,Northern Zagros,35.816667,45.016667,Level B - Zarzian,,"Renfrew, C. et al 1966; Chabot et al 2001","Renfrew, C. et al 1966",,OES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_1,Kortik Tepe,1,Turkey,Jezireh,37.814426,40.983756,Epi-Palaeolithic,,"Carter, T. et al 2013","Carter, T. et al 2013",McMaster University,ED-XRF,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_2,Mallaha,1,Israel,Southern Levant,33.11666667,35.66666667,Final Natufian,,"Valla F.R. 1984; Cauvin M.C. 1966; Valla, F.R. et al 2001; Valla, F.R. et al 2007; Valla, F.R. 1975a; Valla, F.R. 1975b; Delerue, S.2007; ","Delerue, S. 2007; Valla, F.R. et al 2001 (analysis done by Perlman and Yellin); Valla, F.R. et al 2007 (analysis done by S.D. and G.P.)",,NAA; XRF,136,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_3,Mureybet,1,Syria,Middle Euphrate,36.0434,38.1287,IA - Natufian,,"Cauvin, J. 1977; Bellot-Gurlet 1998; Pernicka, E. et al 1997; Gratuze, B. et al 1993; Warren in Cauvin, M.-C. 1991","Bellot-Gurlet 1998; Pernicka, E. et al 1997; Gratuze, B. et al 1993; Warren in Cauvin, M.-C. 1991",,PIGE,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_4,Shanidar,1,Iraq,Northern Zagros,37.08333333,43.86666667,"""Proto-Neolithic""",,"Solecki, R.L. 1964a; Solecki, R.L. 1964b; Chataigner, C. 1998:293-294; Solecki et al 2004","See Chataigner, C. 1998:293-294; Renfrew, C. et al 1966",,OES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_5,Zawi Chemi,1,Iraq,Northern Zagros,36.96666667,44.2,,"ASPRO states that a single piece originates from Nemrut Dag, but no reference is given. Delerue also mentions this issue on page 253 of her thesis. ","Solecki, R.L. 1964; Hours, F. et al 1994","Hours, F. et al 1994",,OES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_1,Hallan Cemi,2,Turkey,High Valleys,38.227159,41.238851,,The trace element analysis was published by Rosenberg but was conducted by J.M. Blackman in 1991. ,"Rosenberg, M. 1994; Delerue, S. 2007","Rosenberg, M. 1994",,"""trace element analysis""",16,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_2,Jerf el-Ahmar,2,Syria,Middle Euphrate,36.383333,38.183333,"PPNA, transition to PPNB","Abbes' study seems to consolidate all prior analyses, including Bellot-Gurlet's thesis work (probably unpublished. he is also second author). ","Mottram, M. 1997; Pernicka, E. et al 1997; Abbes et al 2003; Bellot-Gurlet, L. 2008","Abbes et al 2003; Pernicka, E. et al 1997; Bellot-Gurlet, L. 2008",,INAA; ICP; ICP-AES; ICP-MS; SEM-EDX; PIXE,44,0,42,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_3,Jericho,2,Palestine,Southern Levant,31.85,35.433333,"""Proto-Neolithic"" et ""Pre-pottery Neolithic A"" (Kenyon)",,"Crawfoot-Payne, J. 1983; Garfinkel, Y. 2008; Renfrew, C. et al 1966","Renfrew, C. et al 1966; Gale, N.H. 1981",,OES; Strontium isotope Analysis,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_4,Kortik Tepe,2,Turkey,Jezireh,37.814426,40.983756,PPNA,,"Carter, T. et al 2013","Carter, T. et al 2013",McMaster University,ED-XRF,118,0,0,0,0,0,0,0,0,0,0,0,0,66,51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
