Key	Item Type	Publication Year	Author	Title	Publication Title	Volume	Issue	Pages	Publisher	Place	Editor	Series	Series Number	Conference Name	ISBN	ISSN	DOI	Url
IRWXER7H	journalArticle	1994	"Bader, Nikolaï O; Merpert, Nikolaï Ja; Munchaev, Rauf M"	"Les Importtations d'Obsidienne sur kes Sites des IXe-VIIe Millénaures BP du Djebel Sinjar, Iraq"	Paléorient	20	2	5–8										
X3ZFEPHG	journalArticle	1993	"Bigazzi, G; Ercan, T; Oddone, M; Özdoḡan, M; Yeḡingil, Z"	Application of fission track dating to archaeometry: provenance studies of prehistoric obsidian artifacts	Nuclear Tracks and Radiation Measurements	22	1	757–762										
73NN4UZM	bookSection	1995	"Bigazzi, G.; Oddone, M.; Yegingil, Z."	A Provenance Study of Obsidian Artifacts from Ilipinar	"The Ilıpınar excavations I: Five seasons of fieldwork in NW Anatolia, 1987-91"	1		143-150	Nederlands Historisch-Archaeologisch Institut in het Nabije Oosten te Istanbul	Istanbul	"Roodenberg, Jacob J"							
GDND2HU7	journalArticle	1997	"Briois, François; GUILAINE, Jean; GRATUZE, Bernard"	Obsidiennes du site néolithique précéramique de Shillourokambos (Chypre)	Paléorient	23	1	95–112										
ZMWCMVD6	journalArticle	1991	"Cauvin, Marie-Claire"	L'obsidienne au Levant préhistorique: provenance et fonction	Cahiers de l'Euphrate	5	6	163–190										
CK7MVQMM	journalArticle	1991	"Cauvin, Marie-Claire; Besnus, Y; Tripier, J; Montigny, R"	Nouvelles analyses d'obsidiennes du Proche-Orient: modèle de géochimie des magmas utilisé pour la recherche archéologique	Paléorient	17	2	5–20										
T793DVD5	journalArticle	1994	"Francaviglia, Vincenzo"	"L'origine des outils en obsidienne de Tell Magzalia, Tell Sotto, Yarim Tepe et Kül Tepe, Iraq"	Paléorient	20	2	18–31										
JDGNFMNB	conferencePaper	1998	"Gopher, A; Barkai, R; Marder, O"	Cultural contacts in the Neolithic period: Anatolian obsidians in the southern Levant	"Préhistoire d’Anatolie: Genese des deux mondes [Anatolian Prehistory: At the Crossroads of Two Worlds], Etudes et Recherchese Archéologiques de l’Université de Liege, Liege, Belgium"	85		641–650	"Université de Liège, Service de Préhistoire"	Liege	"Otte, M"	Etudes et recherches archéologiques de l'Université de Liège						
3NWBS5EC	journalArticle	1994	"Gratuze, Bernard"	Contribution à l'analyse d'outils provenant du site archéologique de Magzalia	Paléorient	20	2	32–34										
C6KZHW6N	journalArticle	1999	"Gratuze, Bernard"	Obsidian characterization by laser ablation ICP-MS and its application to prehistoric trade in the Mediterranean and the Near East: sources and distribution of obsidian within the Aegean and Anatolia	Journal of Archaeological Science	26	8	869–881										
X4RSWC7F	journalArticle	1993	"Gratuze, B; Barrandon, JN; Al Isa, K; Cauvin, MC"	Non-Destructive Analysis of Obsidian Artefacts Using Nuclear Techniques: Investigations of Provenance of Near Eastern Artefacts	Archaeometry	35	1	11–21										
FRW5VW3F	journalArticle	1994	"Hall, ME; Shackley, MS"	An energy dispersive x-ray fluorescence study of some Near Eastern Obsidians	Al-Rafidan	15		25–32										
4MKBZ2RJ	conferencePaper	1996	"Pernicka, E; Keller, J; Rapp Jr, G; Ercan, T"	Provenance of Late Neolithic and Early Bronze Age obsidian artefacts from the Troad	"Archaeometry 94: the proceedings of the 29th International Symposium on Archaeometry--Ankara, 9-14 May 1994"			515–519	TÜBİTAK	Ankara	"Demirci, S; Ozer, A.M.; Summers, G.D."							
3CZ9F9NI	journalArticle	1997	"Pernicka, E; Keller, J; Cauvin, M-C"	Obsidian from Anatolian sources in the Neolithic of the middle Euphrates region (Syria)	Paléorient	23	1	113–122										
XUR923H3	book	1990	"Pullar, Judith; Hastings, Anne; Hubbard, Richard; Wilcox, George"	Tepe Abdul Hosein: A Neolithic Site in Western Iran: Excavations 1978					Oxbow Books	Oxford		BAR International Series	563					
K2Q4N8SJ	conferencePaper	1994	"Rosenberg, M."	A Preliminary Description of the Lithic Industry from Hallan Çemi	Neolithic Chipped Stone Industries of the Fertile Crescent	1		223-238	ex oriente	Berlin	"Gebel, H.G.; Kozlowski, S.K."	"Studies in Early Near Eastern Production, Subsistence and Environment"		First Workshop on PPN Chipped Lithic Industries				
NHUJPKRV	journalArticle	1990	"Schneider, G"	Herkunft von obsidianartefakten in Uruk	Baghdader Mitteilungen	21		67–72										
PPCZBFRD	bookSection	1992	"Yellin, J; Frachtenberg, F"	A Re-Examination of Nahal Lavan Obsidian	"Ancient Stones: Quarrying, Trade and Provenance: Interdisciplinary Studies on Stones and Stone Technology in Europe and Near East from the Prehistoric to the Early Christian Period"			139-148	Leuven University Press	Leuven	"Waelkens, Marc; Herz, Norman; Moens, Luc"	Acta Archaeologica Livaniensia	4					
4WAN52WX	journalArticle	1992	"Yellin, Joseph; Gopher, Avi"	The Origin of the Obsidian Artefacts from Mujahiya—A PPNB Site in the Golan Heights	Tel Aviv	1992	1	94–99										
ZQCDCE95	thesis	1998	"Bellot-Gurlet, Ludovic"	Caractérisation par analyse élémentaire (PIXE et ICP-MS/-AES) d'un verre naturel: l'obsidienne. Application à l'étude de provenance d'objets archéologiques.					Université Joseph-Fourier-Grenoble I									https://hal-confremo.archives-ouvertes.fr/tel-00315287/
NW26R2VK	journalArticle	1995	"Gomez, Basil; Glascock, M. D.; Blackman, M. J.; Todd, I. A."	Neutron activation analysis of obsidian from Kalavasos-Tenta	Journal of field archaeology	22	4	503–508										http://www.tandfonline.com/doi/abs/10.1179/009346995791974080
