Name,Number,Longitude,Latitude,Region,Citations
Agicöl,1,34.616667,38.516667,Cappadocia,
Gollü Dag,2,34.55,38.259722,Cappadocia,
Nenezi Dag,3,34.416667,38.366667,Cappadocia,
Hasan Dag,4,34.166667,38.133333,Cappadocia,
Bingöl A,5,40.75,38.933333,Van,
Bingöl B,6,40.766667,39.15,Van,
Meydan Dag,7,43.133333,39.166667,Van,
Nemrut Dag,8,42.23,38.65,Van,
Süphan Dag,9,42.666667,38.9,Van,
Tendürek Dag,10,43.866667,39.366667,Van,
Mus,11,41.383333,38.883333,Van,
Pasinler,12,41.616667,40.066667,Northwest,
Sarikamis,13,42.5731,40.3381,Northwest,
Kojun Dag,14,43.866667,41.466667,Transcaucasia,
Sjunik,15,45.816667,39.766667,Transcaucasia,
Gegham,16,45,40.133333,Transcaucasia,
Gutansar,17,44.633333,40.35,Transcaucasia,
Arteni,18,43.766667,40.35,Transcaucasia,
Hatis,19,44.716667,40.283333,Transcaucasia,
